t_rel_s,phase,actor,service,url,result,http_code,latency_ms,error
6.235,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2037,curl: (28) Connection timeout after 2033 ms |
6.235,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,2034,curl: (28) Connection timeout after 2030 ms |
6.235,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2038,curl: (28) Connection timeout after 2033 ms |
6.321,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,38,
6.329,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,36,
6.329,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,37,
6.344,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,39,
6.345,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,37,
6.345,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,37,
6.347,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,39,
6.528,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,64,
6.537,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,42,
6.537,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,44,
6.537,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,44,
6.537,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,44,
7.288,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,36,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 32 ms: No route to host |
7.288,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,36,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 32 ms: No route to host |
7.289,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,36,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 30 ms: No route to host |
7.493,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,170,
7.509,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,178,
7.509,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,179,
7.515,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,167,
7.515,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,168,
7.520,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,174,
7.520,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,172,
7.571,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,41,
7.584,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,44,
7.584,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,44,
7.584,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,44,
7.584,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,44,
8.580,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,83,
8.591,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,79,
8.592,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,80,
8.596,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,79,
8.596,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,79,
8.602,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,80,
8.602,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,80,
8.613,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,39,
8.626,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,39,
8.626,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,41,
8.626,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,40,
8.627,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,41,
9.647,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,64,
9.652,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,58,
9.658,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,63,
9.663,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,64,
9.663,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,64,
9.667,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,37,
9.669,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,39,
9.671,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,41,
9.671,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,41,
9.671,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,41,
9.672,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,42,
9.672,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,42,
10.317,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2014,curl: (28) Connection timeout after 2010 ms |
10.317,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,2014,curl: (28) Connection timeout after 2010 ms |
10.317,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2014,curl: (28) Connection timeout after 2010 ms |
10.717,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,41,
10.717,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,40,
10.717,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,41,
10.717,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,40,
10.717,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,40,
10.717,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,41,
10.718,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,42,
10.717,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,41,
10.718,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,41,
10.718,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,41,
10.719,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,42,
10.721,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,44,
11.447,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,126,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 122 ms: No route to host |
11.448,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,127,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 123 ms: No route to host |
11.769,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,42,
11.769,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,42,
11.769,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,43,
11.770,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,43,
11.770,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,43,
11.771,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,44,
11.771,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,44,
11.770,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,44,
11.771,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,44,
11.772,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,45,
12.849,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,77,
12.849,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,77,
12.850,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,76,
12.850,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,77,
12.850,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,76,
12.850,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,76,
12.850,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,76,
12.855,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,80,
12.854,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,78,
12.860,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,83,
13.338,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2017,curl: (28) Connection timeout after 2013 ms |
13.742,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,blocked,000,2015,curl: (28) Connection timeout after 2006 ms |
13.742,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,blocked,000,2016,curl: (28) Connection timeout after 2005 ms |
13.907,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,42,
13.909,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,43,
13.909,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,43,
13.908,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,42,
13.908,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,43,
13.908,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,43,
13.909,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,43,
13.912,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,46,
13.912,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,47,
13.914,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,48,
14.393,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,45,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 40 ms: No route to host |
14.461,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,2011,curl: (28) Connection timeout after 2006 ms |
14.463,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2008,curl: (28) Connection timeout after 2002 ms |
14.839,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,blocked,000,89,curl: (7) Failed to connect to 10.0.0.70 port 8000 after 83 ms: No route to host |
14.839,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,blocked,000,89,curl: (7) Failed to connect to 10.0.0.31 port 8000 after 86 ms: No route to host |
14.966,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,49,
14.966,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,50,
14.966,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,49,
14.966,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,50,
14.965,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,48,
14.966,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,48,
14.967,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,49,
14.966,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,49,
14.967,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,51,
14.970,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,49,
15.544,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,80,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 76 ms: No route to host |
15.545,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,80,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 73 ms: No route to host |
16.016,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,37,
16.016,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,37,
16.017,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,38,
16.017,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,37,
16.017,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,39,
16.017,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,38,
16.019,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,40,
16.020,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,41,
16.021,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,42,
16.022,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,42,
16.972,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,1120,
16.972,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,1121,
17.072,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,40,
17.072,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,40,
17.072,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,40,
17.077,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,45,
17.077,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,46,
17.078,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,46,
17.078,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,46,
17.078,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,46,
17.106,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,74,
17.107,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,75,
17.421,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2010,curl: (28) Connection timeout after 2005 ms |
18.064,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,87,
18.072,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,95,
18.113,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,38,
18.113,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,38,
18.115,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,39,
18.117,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,37,
18.119,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,40,
18.120,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,40,
18.120,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,40,
18.120,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,41,
18.148,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,39,
18.148,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,40,
18.488,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,59,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 54 ms: No route to host |
18.590,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2036,curl: (28) Connection timeout after 2031 ms |
18.591,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,2037,curl: (28) Connection timeout after 2031 ms |
19.142,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,39,
19.142,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,40,
19.156,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,40,
19.156,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,40,
