phase,successful_critical_requests,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
NORMAL,23,94.35,44.00,83.00,1176.00,1176.00
DEGRADED,15,154.73,57.00,1123.00,1123.00,1123.00
ISLANDED,14,156.64,69.00,1224.00,1224.00,1224.00
ISLANDED_MESH,13,157.23,67.00,1147.00,1147.00,1147.00
TRUST_AWARE_MESH,11,167.82,69.00,1108.00,1108.00,1108.00
INTER_ISLAND_MESH,32,36.16,26.00,97.00,104.00,104.00
REATTACH,11,57.45,45.00,172.00,172.00,172.00
NORMAL_RESTORED,23,41.26,37.00,112.00,133.00,133.00
ALL_PHASES,142,93.75,47.00,172.00,1176.00,1224.00
