phase,start_s,end_s,duration_s,total_requests,success_count,blocked_count,success_rate_pct,block_rate_pct,avg_success_latency_ms,max_latency_ms
NORMAL,0.813,28.596,27.783,342,287,55,83.92,16.08,77.01,2045.00
DEGRADED,28.501,48.940,20.439,148,71,77,47.97,52.03,213.08,3027.00
ISLANDED,47.717,69.369,21.652,128,23,105,17.97,82.03,79.65,2030.00
ISLANDED_MESH,68.084,82.016,13.932,78,8,70,10.26,89.74,65.50,2114.00
TRUST_AWARE_MESH,80.811,95.082,14.271,80,12,68,15.00,85.00,78.42,2047.00
INTER_ISLAND_MESH,93.356,107.865,14.509,120,23,97,19.17,80.83,41.74,2368.00
REATTACH,105.890,141.617,35.727,293,114,179,38.91,61.09,73.27,3946.00
NORMAL_RESTORED,140.441,152.358,11.917,180,145,35,80.56,19.44,51.67,2023.00
