phase,actor,service,expected,total_requests,success_count,blocked_count,pass_count,scored_requests,pass_rate_pct,avg_success_latency_ms,max_latency_ms
NORMAL,zt_attacker,svc_alert,success,25,23,2,23,25,92.00,49.00,2004.00
NORMAL,zt_attacker,svc_critical,success,14,0,14,0,14,0.00,0.00,2028.00
NORMAL,zt_attacker,svc_external,success,25,23,2,23,25,92.00,49.57,2004.00
NORMAL,zt_civilian_user,svc_central_identity,success,25,24,1,24,25,96.00,48.29,2006.00
NORMAL,zt_civilian_user,svc_critical,success,14,0,14,0,14,0.00,0.00,2014.00
NORMAL,zt_civilian_user,svc_external,success,25,24,1,24,25,96.00,48.88,2006.00
NORMAL,zt_civilian_user,svc_noncritical,success,25,24,1,24,25,96.00,49.12,2011.00
NORMAL,zt_responder,svc_alert,success,25,25,0,25,25,100.00,123.72,1130.00
NORMAL,zt_responder,svc_central_identity,success,25,25,0,25,25,100.00,121.56,1121.00
NORMAL,zt_responder,svc_critical,success,14,0,14,0,14,0.00,0.00,2045.00
NORMAL,zt_responder,svc_external,success,25,25,0,25,25,100.00,124.24,1142.00
NORMAL,zt_responder,svc_noncritical,success,25,25,0,25,25,100.00,123.12,1126.00
NORMAL,zt_sensor,svc_alert,success,25,23,2,23,25,92.00,49.09,2004.00
NORMAL,zt_sensor,svc_central_identity,success,25,23,2,23,25,92.00,77.65,2006.00
NORMAL,zt_sensor,svc_external,success,25,23,2,23,25,92.00,47.57,2005.00
DEGRADED,zt_attacker,svc_alert,skip,9,4,5,,,,79.25,2010.00
DEGRADED,zt_attacker,svc_critical,blocked,9,0,9,9,9,100.00,0.00,2027.00
DEGRADED,zt_attacker,svc_external,skip,9,4,5,,,,104.75,2009.00
DEGRADED,zt_civilian_user,svc_central_identity,skip,7,2,5,,,,1634.00,3013.00
DEGRADED,zt_civilian_user,svc_critical,blocked,9,0,9,9,9,100.00,0.00,2014.00
DEGRADED,zt_civilian_user,svc_external,skip,10,4,6,,,,104.00,2039.00
DEGRADED,zt_civilian_user,svc_noncritical,skip,15,13,2,,,,72.77,2020.00
DEGRADED,zt_responder,svc_alert,success,18,18,0,18,18,100.00,89.50,382.00
DEGRADED,zt_responder,svc_central_identity,success,6,3,3,3,6,50.00,1655.67,3027.00
