t_rel_s,phase,actor,service,url,result,http_code,latency_ms,error
0.813,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,704,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 701 ms: No route to host |
1.244,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,1126,
1.243,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,1121,
1.243,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,1130,
1.243,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,1142,
2.096,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2024,curl: (28) Connection timeout after 2018 ms |
2.122,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,blocked,000,2011,curl: (28) Connection timeout after 2003 ms |
2.121,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,blocked,000,2006,curl: (28) Connection timeout after 2002 ms |
2.132,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,blocked,000,2006,curl: (28) Connection timeout after 2001 ms |
2.134,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,blocked,000,2004,curl: (28) Connection timeout after 2000 ms |
2.134,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,blocked,000,2005,curl: (28) Connection timeout after 2001 ms |
2.143,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,blocked,000,2006,curl: (28) Connection timeout after 2001 ms |
2.145,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,blocked,000,2004,curl: (28) Connection timeout after 2000 ms |
2.147,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,blocked,000,2004,curl: (28) Connection timeout after 2000 ms |
2.148,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2009,curl: (28) Connection timeout after 2002 ms |
2.312,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,65,
2.312,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,65,
2.312,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,66,
2.312,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,65,
3.161,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,36,
3.161,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,36,
3.172,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,37,
3.182,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,73,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 69 ms: No route to host |
3.245,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,blocked,000,100,curl: (7) Failed to connect to 10.0.0.10 port 8000 after 95 ms: No route to host |
3.245,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,blocked,000,110,curl: (7) Failed to connect to 10.0.0.70 port 8000 after 106 ms: No route to host |
