phase,successful_critical_requests,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
NORMAL,21,122.38,43.00,332.00,1094.00,1094.00
DEGRADED,20,73.75,45.00,162.00,202.00,202.00
ISLANDED,17,53.41,49.00,107.00,107.00,107.00
ISLANDED_MESH,16,75.25,62.00,156.00,156.00,156.00
TRUST_AWARE_MESH,5,413.00,113.00,1700.00,1700.00,1700.00
INTER_ISLAND_MESH,23,38.87,38.00,102.00,110.00,110.00
REATTACH,17,28.47,39.00,69.00,69.00,69.00
NORMAL_RESTORED,24,31.04,38.00,58.00,75.00,75.00
ALL_PHASES,143,72.34,45.00,139.00,1094.00,1700.00
