phase,start_s,end_s,duration_s,total_requests,success_count,blocked_count,success_rate_pct,block_rate_pct,avg_success_latency_ms,max_latency_ms
NORMAL,2.089,28.894,26.805,323,263,60,81.42,18.58,82.35,2019.00
DEGRADED,27.804,51.180,23.376,171,90,81,52.63,47.37,316.56,3022.00
ISLANDED,49.568,69.281,19.713,111,22,89,19.82,80.18,52.77,2050.00
ISLANDED_MESH,67.654,85.406,17.752,100,16,84,16.00,84.00,75.25,2032.00
TRUST_AWARE_MESH,84.298,95.569,11.271,64,5,59,7.81,92.19,413.00,2028.00
INTER_ISLAND_MESH,94.488,108.599,14.111,118,23,95,19.49,80.51,38.87,2335.00
REATTACH,106.690,141.392,34.702,303,148,155,48.84,51.16,86.93,3837.00
NORMAL_RESTORED,140.107,154.146,14.039,210,171,39,81.43,18.57,53.12,2032.00
