phase,actor,service,expected,total_requests,success_count,blocked_count,pass_count,scored_requests,pass_rate_pct,avg_success_latency_ms,max_latency_ms
TRUST_AWARE_MESH,zt_attacker,svc_alert,skip,4,0,4,,,,0.00,2007.00
TRUST_AWARE_MESH,zt_attacker,svc_critical,blocked,5,0,5,5,5,100.00,0.00,2021.00
TRUST_AWARE_MESH,zt_attacker,svc_external,skip,4,0,4,,,,0.00,2009.00
TRUST_AWARE_MESH,zt_civilian_user,svc_central_identity,skip,5,0,5,,,,0.00,2013.00
TRUST_AWARE_MESH,zt_civilian_user,svc_critical,blocked,5,0,5,5,5,100.00,0.00,2018.00
TRUST_AWARE_MESH,zt_civilian_user,svc_external,skip,3,0,3,,,,0.00,2006.00
TRUST_AWARE_MESH,zt_civilian_user,svc_noncritical,skip,3,0,3,,,,0.00,2022.00
TRUST_AWARE_MESH,zt_responder,svc_alert,success,6,5,1,5,6,83.33,413.00,2022.00
TRUST_AWARE_MESH,zt_responder,svc_central_identity,blocked,5,0,5,5,5,100.00,0.00,2009.00
TRUST_AWARE_MESH,zt_responder,svc_critical,success,6,0,6,0,6,0.00,0.00,2028.00
TRUST_AWARE_MESH,zt_responder,svc_external,blocked,4,0,4,4,4,100.00,0.00,2017.00
TRUST_AWARE_MESH,zt_responder,svc_noncritical,blocked,4,0,4,4,4,100.00,0.00,2014.00
TRUST_AWARE_MESH,zt_sensor,svc_alert,skip,4,0,4,,,,0.00,2019.00
TRUST_AWARE_MESH,zt_sensor,svc_central_identity,skip,3,0,3,,,,0.00,2009.00
TRUST_AWARE_MESH,zt_sensor,svc_external,skip,3,0,3,,,,0.00,2008.00
INTER_ISLAND_MESH,zt_attacker,svc_alert,skip,4,0,4,,,,0.00,2329.00
INTER_ISLAND_MESH,zt_attacker,svc_critical,blocked,6,0,6,6,6,100.00,0.00,2154.00
INTER_ISLAND_MESH,zt_attacker,svc_external,skip,4,0,4,,,,0.00,2188.00
INTER_ISLAND_MESH,zt_attacker_i2,svc_critical,blocked,6,0,6,6,6,100.00,0.00,2012.00
INTER_ISLAND_MESH,zt_civilian_user,svc_central_identity,skip,5,0,5,,,,0.00,2259.00
INTER_ISLAND_MESH,zt_civilian_user,svc_critical,blocked,5,0,5,5,5,100.00,0.00,2007.00
INTER_ISLAND_MESH,zt_civilian_user,svc_external,skip,5,0,5,,,,0.00,2333.00
INTER_ISLAND_MESH,zt_civilian_user,svc_noncritical,skip,5,0,5,,,,0.00,2095.00
INTER_ISLAND_MESH,zt_civilian_user_i2,svc_critical,blocked,5,0,5,5,5,100.00,0.00,2012.00
INTER_ISLAND_MESH,zt_responder,svc_alert,success,11,11,0,11,11,100.00,69.73,110.00
INTER_ISLAND_MESH,zt_responder,svc_central_identity,blocked,4,0,4,4,4,100.00,0.00,2335.00
INTER_ISLAND_MESH,zt_responder,svc_critical,success,6,0,6,0,6,0.00,0.00,2094.00
INTER_ISLAND_MESH,zt_responder,svc_external,blocked,4,0,4,4,4,100.00,0.00,2261.00
INTER_ISLAND_MESH,zt_responder,svc_noncritical,blocked,4,0,4,4,4,100.00,0.00,2175.00
INTER_ISLAND_MESH,zt_responder_i2,svc_alert,success,12,12,0,12,12,100.00,10.58,38.00
INTER_ISLAND_MESH,zt_responder_i2,svc_central_identity,blocked,4,0,4,4,4,100.00,0.00,2012.00
INTER_ISLAND_MESH,zt_responder_i2,svc_critical,success,6,0,6,0,6,0.00,0.00,2142.00
INTER_ISLAND_MESH,zt_responder_i2,svc_noncritical,blocked,4,0,4,4,4,100.00,0.00,2013.00
INTER_ISLAND_MESH,zt_sensor,svc_alert,skip,4,0,4,,,,0.00,2245.00
INTER_ISLAND_MESH,zt_sensor,svc_central_identity,skip,5,0,5,,,,0.00,2165.00
INTER_ISLAND_MESH,zt_sensor,svc_external,skip,5,0,5,,,,0.00,2111.00
INTER_ISLAND_MESH,zt_sensor_i2,svc_alert,skip,4,0,4,,,,0.00,2013.00
REATTACH,zt_attacker,svc_alert,skip,14,9,5,,,,169.00,3207.00
REATTACH,zt_attacker,svc_critical,skip,10,0,10,,,,0.00,3460.00
REATTACH,zt_attacker,svc_external,skip,14,9,5,,,,269.78,3141.00
REATTACH,zt_attacker_i2,svc_critical,skip,11,0,11,,,,0.00,3061.00
REATTACH,zt_civilian_user,svc_central_identity,skip,15,10,5,,,,55.90,3837.00
REATTACH,zt_civilian_user,svc_critical,skip,12,0,12,,,,0.00,2973.00
REATTACH,zt_civilian_user,svc_external,skip,14,9,5,,,,180.56,3264.00
REATTACH,zt_civilian_user,svc_noncritical,skip,15,9,6,,,,46.89,2916.00
REATTACH,zt_civilian_user_i2,svc_critical,skip,11,0,11,,,,0.00,2927.00
REATTACH,zt_responder,svc_alert,skip,14,8,6,,,,47.62,3487.00
REATTACH,zt_responder,svc_central_identity,skip,15,9,6,,,,53.11,2760.00
REATTACH,zt_responder,svc_critical,skip,10,0,10,,,,0.00,3085.00
REATTACH,zt_responder,svc_external,skip,15,9,6,,,,81.33,3237.00
REATTACH,zt_responder,svc_noncritical,skip,15,9,6,,,,70.56,3654.00
REATTACH,zt_responder_i2,svc_alert,skip,15,9,6,,,,11.44,3696.00
REATTACH,zt_responder_i2,svc_central_identity,skip,16,10,6,,,,8.60,3141.00
REATTACH,zt_responder_i2,svc_critical,skip,10,0,10,,,,0.00,2980.00
REATTACH,zt_responder_i2,svc_noncritical,skip,16,10,6,,,,112.90,2808.00
REATTACH,zt_sensor,svc_alert,skip,16,10,6,,,,47.80,3098.00
REATTACH,zt_sensor,svc_central_identity,skip,14,9,5,,,,185.89,3410.00
REATTACH,zt_sensor,svc_external,skip,15,9,6,,,,59.89,2854.00
REATTACH,zt_sensor_i2,svc_alert,skip,16,10,6,,,,7.70,3239.00
NORMAL_RESTORED,zt_attacker,svc_alert,success,12,12,0,12,12,100.00,44.92,71.00
NORMAL_RESTORED,zt_attacker,svc_critical,success,6,0,6,0,6,0.00,0.00,2032.00
NORMAL_RESTORED,zt_attacker,svc_external,success,12,12,0,12,12,100.00,45.25,71.00
NORMAL_RESTORED,zt_attacker_i2,svc_critical,success,6,0,6,0,6,0.00,0.00,2026.00
NORMAL_RESTORED,zt_civilian_user,svc_central_identity,success,8,6,2,6,8,75.00,242.67,2030.00
NORMAL_RESTORED,zt_civilian_user,svc_critical,success,6,0,6,0,6,0.00,0.00,2023.00
NORMAL_RESTORED,zt_civilian_user,svc_external,success,10,8,2,8,10,80.00,98.25,2013.00
NORMAL_RESTORED,zt_civilian_user,svc_noncritical,success,8,6,2,6,8,75.00,47.00,2008.00
NORMAL_RESTORED,zt_civilian_user_i2,svc_critical,success,4,0,4,0,4,0.00,0.00,2027.00
NORMAL_RESTORED,zt_responder,svc_alert,success,12,12,0,12,12,100.00,46.33,75.00
NORMAL_RESTORED,zt_responder,svc_central_identity,success,11,11,0,11,11,100.00,43.64,59.00
NORMAL_RESTORED,zt_responder,svc_critical,success,6,0,6,0,6,0.00,0.00,2018.00
NORMAL_RESTORED,zt_responder,svc_external,success,11,11,0,11,11,100.00,67.73,200.00
NORMAL_RESTORED,zt_responder,svc_noncritical,success,11,11,0,11,11,100.00,93.73,194.00
NORMAL_RESTORED,zt_responder_i2,svc_alert,success,12,12,0,12,12,100.00,15.75,58.00
NORMAL_RESTORED,zt_responder_i2,svc_central_identity,success,12,12,0,12,12,100.00,14.17,50.00
NORMAL_RESTORED,zt_responder_i2,svc_critical,success,5,0,5,0,5,0.00,0.00,2021.00
NORMAL_RESTORED,zt_responder_i2,svc_noncritical,success,12,12,0,12,12,100.00,19.08,58.00
NORMAL_RESTORED,zt_sensor,svc_alert,success,11,11,0,11,11,100.00,55.45,184.00
NORMAL_RESTORED,zt_sensor,svc_central_identity,success,11,11,0,11,11,100.00,64.73,199.00
NORMAL_RESTORED,zt_sensor,svc_external,success,12,12,0,12,12,100.00,44.58,71.00
NORMAL_RESTORED,zt_sensor_i2,svc_alert,success,12,12,0,12,12,100.00,18.33,62.00
