phase,actor,service,expected,total_requests,success_count,blocked_count,pass_count,scored_requests,pass_rate_pct,avg_success_latency_ms,max_latency_ms
NORMAL,zt_attacker,svc_alert,success,24,22,2,22,24,91.67,58.95,2004.00
NORMAL,zt_attacker,svc_critical,success,13,0,13,0,13,0.00,0.00,2018.00
NORMAL,zt_attacker,svc_external,success,24,22,2,22,24,91.67,58.82,2007.00
NORMAL,zt_civilian_user,svc_central_identity,success,24,23,1,23,24,95.83,67.43,2005.00
NORMAL,zt_civilian_user,svc_critical,success,13,0,13,0,13,0.00,0.00,2019.00
NORMAL,zt_civilian_user,svc_external,success,24,23,1,23,24,95.83,68.78,2005.00
NORMAL,zt_civilian_user,svc_noncritical,success,24,23,1,23,24,95.83,59.61,2005.00
NORMAL,zt_responder,svc_alert,success,23,21,2,21,23,91.30,122.38,2018.00
NORMAL,zt_responder,svc_central_identity,success,23,21,2,21,23,91.30,120.76,2008.00
NORMAL,zt_responder,svc_critical,success,13,0,13,0,13,0.00,0.00,2019.00
NORMAL,zt_responder,svc_external,success,23,21,2,21,23,91.30,121.62,2009.00
NORMAL,zt_responder,svc_noncritical,success,23,21,2,21,23,91.30,122.10,2009.00
NORMAL,zt_sensor,svc_alert,success,24,22,2,22,24,91.67,68.50,2004.00
NORMAL,zt_sensor,svc_central_identity,success,24,22,2,22,24,91.67,60.05,2005.00
NORMAL,zt_sensor,svc_external,success,24,22,2,22,24,91.67,68.73,2004.00
DEGRADED,zt_attacker,svc_alert,skip,10,3,7,,,,58.00,2022.00
DEGRADED,zt_attacker,svc_critical,blocked,10,0,10,10,10,100.00,0.00,2021.00
DEGRADED,zt_attacker,svc_external,skip,10,3,7,,,,56.67,2021.00
DEGRADED,zt_civilian_user,svc_central_identity,skip,7,5,2,,,,1730.00,3009.00
DEGRADED,zt_civilian_user,svc_critical,blocked,10,0,10,10,10,100.00,0.00,2021.00
DEGRADED,zt_civilian_user,svc_external,skip,10,3,7,,,,39.00,2026.00
DEGRADED,zt_civilian_user,svc_noncritical,skip,21,21,0,,,,67.19,123.00
DEGRADED,zt_responder,svc_alert,success,20,20,0,20,20,100.00,73.75,202.00
DEGRADED,zt_responder,svc_central_identity,success,8,4,4,4,8,50.00,1508.50,3022.00
DEGRADED,zt_responder,svc_critical,success,10,0,10,0,10,0.00,0.00,2009.00
DEGRADED,zt_responder,svc_external,blocked,9,2,7,7,9,77.78,182.00,2030.00
DEGRADED,zt_responder,svc_noncritical,success,20,20,0,20,20,100.00,75.90,202.00
DEGRADED,zt_sensor,svc_alert,skip,9,2,7,,,,47.00,2050.00
DEGRADED,zt_sensor,svc_central_identity,skip,8,5,3,,,,1681.60,3005.00
DEGRADED,zt_sensor,svc_external,skip,9,2,7,,,,37.50,3008.00
ISLANDED,zt_attacker,svc_alert,skip,6,0,6,,,,0.00,2013.00
ISLANDED,zt_attacker,svc_critical,blocked,8,0,8,8,8,100.00,0.00,2009.00
ISLANDED,zt_attacker,svc_external,skip,6,0,6,,,,0.00,2013.00
ISLANDED,zt_civilian_user,svc_central_identity,skip,6,0,6,,,,0.00,2017.00
ISLANDED,zt_civilian_user,svc_critical,blocked,9,0,9,9,9,100.00,0.00,2015.00
ISLANDED,zt_civilian_user,svc_external,skip,6,0,6,,,,0.00,2012.00
ISLANDED,zt_civilian_user,svc_noncritical,skip,7,2,5,,,,52.50,2024.00
ISLANDED,zt_responder,svc_alert,success,17,17,0,17,17,100.00,53.41,107.00
ISLANDED,zt_responder,svc_central_identity,blocked,6,0,6,6,6,100.00,0.00,2029.00
ISLANDED,zt_responder,svc_critical,success,8,0,8,0,8,0.00,0.00,2015.00
ISLANDED,zt_responder,svc_external,blocked,6,0,6,6,6,100.00,0.00,2050.00
ISLANDED,zt_responder,svc_noncritical,blocked,8,3,5,5,8,62.50,49.33,2009.00
ISLANDED,zt_sensor,svc_alert,skip,6,0,6,,,,0.00,2007.00
ISLANDED,zt_sensor,svc_central_identity,skip,6,0,6,,,,0.00,2012.00
ISLANDED,zt_sensor,svc_external,skip,6,0,6,,,,0.00,2030.00
ISLANDED_MESH,zt_attacker,svc_alert,skip,6,0,6,,,,0.00,2015.00
ISLANDED_MESH,zt_attacker,svc_critical,blocked,7,0,7,7,7,100.00,0.00,2008.00
ISLANDED_MESH,zt_attacker,svc_external,skip,6,0,6,,,,0.00,2015.00
ISLANDED_MESH,zt_civilian_user,svc_central_identity,skip,7,0,7,,,,0.00,2019.00
ISLANDED_MESH,zt_civilian_user,svc_critical,blocked,8,0,8,8,8,100.00,0.00,2024.00
ISLANDED_MESH,zt_civilian_user,svc_external,skip,5,0,5,,,,0.00,2009.00
ISLANDED_MESH,zt_civilian_user,svc_noncritical,skip,6,0,6,,,,0.00,2025.00
ISLANDED_MESH,zt_responder,svc_alert,success,16,16,0,16,16,100.00,75.25,156.00
ISLANDED_MESH,zt_responder,svc_central_identity,blocked,5,0,5,5,5,100.00,0.00,2023.00
ISLANDED_MESH,zt_responder,svc_critical,success,8,0,8,0,8,0.00,0.00,2015.00
ISLANDED_MESH,zt_responder,svc_external,blocked,5,0,5,5,5,100.00,0.00,2030.00
ISLANDED_MESH,zt_responder,svc_noncritical,blocked,6,0,6,6,6,100.00,0.00,2010.00
ISLANDED_MESH,zt_sensor,svc_alert,skip,5,0,5,,,,0.00,2032.00
ISLANDED_MESH,zt_sensor,svc_central_identity,skip,5,0,5,,,,0.00,2007.00
ISLANDED_MESH,zt_sensor,svc_external,skip,5,0,5,,,,0.00,2024.00
