t_rel_s,phase,actor,service,url,result,http_code,latency_ms,error
2.089,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,blocked,000,2018,curl: (28) Connection timeout after 2013 ms |
2.089,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,blocked,000,2009,curl: (28) Connection timeout after 2004 ms |
2.096,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,blocked,000,2009,curl: (28) Connection timeout after 2004 ms |
2.110,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,blocked,000,2008,curl: (28) Connection timeout after 2002 ms |
2.111,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,blocked,000,2005,curl: (28) Connection timeout after 2001 ms |
2.117,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,blocked,000,2004,curl: (28) Connection timeout after 2000 ms |
2.120,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,blocked,000,2005,curl: (28) Connection timeout after 2000 ms |
2.126,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2003,curl: (28) Connection timeout after 2000 ms |
2.127,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,2004,curl: (28) Connection timeout after 2000 ms |
2.135,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,blocked,000,2005,curl: (28) Connection timeout after 2001 ms |
2.138,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,blocked,000,2005,curl: (28) Connection timeout after 2000 ms |
2.137,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,blocked,000,2004,curl: (28) Connection timeout after 2000 ms |
2.141,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,blocked,000,2004,curl: (28) Connection timeout after 2000 ms |
2.142,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2006,curl: (28) Connection timeout after 2000 ms |
2.147,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,blocked,000,2007,curl: (28) Connection timeout after 2001 ms |
3.145,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,blocked,000,55,curl: (7) Failed to connect to 10.0.0.70 port 8000 after 49 ms: No route to host |
3.145,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,blocked,000,47,curl: (7) Failed to connect to 10.0.0.40 port 8000 after 44 ms: No route to host |
3.145,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,blocked,000,55,curl: (7) Failed to connect to 10.0.0.31 port 8000 after 50 ms: No route to host |
3.157,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,44,
3.166,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,43,
3.176,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,36,
3.209,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,blocked,000,60,curl: (7) Failed to connect to 10.0.0.70 port 8000 after 56 ms: No route to host |
3.209,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,blocked,000,70,curl: (7) Failed to connect to 10.0.0.10 port 8000 after 65 ms: No route to host |
3.209,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,blocked,000,91,curl: (7) Failed to connect to 10.0.0.31 port 8000 after 85 ms: No route to host |
3.209,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,blocked,000,96,curl: (7) Failed to connect to 10.0.0.10 port 8000 after 92 ms: No route to host |
3.209,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,80,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 77 ms: No route to host |
3.209,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,blocked,000,68,curl: (7) Failed to connect to 10.0.0.70 port 8000 after 62 ms: No route to host |
3.209,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,blocked,000,67,curl: (7) Failed to connect to 10.0.0.31 port 8000 after 63 ms: No route to host |
3.209,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,81,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 77 ms: No route to host |
3.209,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,65,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 59 ms: No route to host |
